               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.054478,            0.024473,            0.010721,             0.41038,             0.70417,             0.52313,             0.21468,            0.035327,            0.011836,            0.012067,             0.00769,             0.00769,             0.00769
                  37,            0.049783,            0.024467,            0.011482,             0.39848,             0.60833,             0.47997,             0.20476,            0.036915,            0.012111,            0.013019,            0.007624,            0.007624,            0.007624
                  38,            0.053607,            0.024337,             0.01018,             0.46124,             0.51142,             0.50176,             0.18758,            0.037567,            0.010783,            0.011658,            0.007558,            0.007558,            0.007558
                  39,            0.048617,            0.022173,           0.0089854,             0.45459,             0.62524,             0.51848,             0.21176,            0.033414,            0.012056,            0.011185,            0.007492,            0.007492,            0.007492
                  40,            0.047572,            0.025257,            0.010614,             0.75139,             0.51667,             0.65019,             0.25323,            0.034155,             0.01146,            0.010437,            0.007426,            0.007426,            0.007426
                  41,            0.048646,            0.027229,           0.0094498,             0.25789,             0.64167,             0.28554,             0.10736,            0.039944,            0.012907,            0.011319,             0.00736,             0.00736,             0.00736
                  42,            0.054813,            0.023527,           0.0092331,             0.56622,             0.60536,             0.60676,             0.26118,             0.03215,             0.01126,            0.010825,            0.007294,            0.007294,            0.007294
                  43,            0.045682,            0.023766,           0.0086169,             0.26206,              0.5125,             0.29091,            0.090967,            0.043813,            0.012161,            0.010626,            0.007228,            0.007228,            0.007228
                  44,            0.052348,            0.023872,           0.0075558,             0.49011,             0.53882,             0.58443,             0.28611,             0.03155,            0.010817,            0.010504,            0.007162,            0.007162,            0.007162
                  45,            0.048195,            0.024617,           0.0079437,             0.44228,             0.72966,             0.50035,             0.20913,            0.034982,            0.011147,            0.011337,            0.007096,            0.007096,            0.007096
                  46,            0.048599,            0.026036,           0.0087998,             0.60386,              0.7375,             0.69489,             0.32515,            0.030412,            0.010621,            0.011063,             0.00703,             0.00703,             0.00703
                  47,            0.046753,            0.024926,            0.010046,             0.51499,             0.67574,             0.59983,             0.19149,              0.0368,            0.010872,            0.010742,            0.006964,            0.006964,            0.006964
                  48,             0.04839,            0.025096,           0.0070557,             0.58829,             0.83333,              0.7606,             0.31794,            0.028508,            0.010182,            0.010858,            0.006898,            0.006898,            0.006898
                  49,            0.045093,            0.027855,            0.008367,             0.50371,             0.79156,             0.62784,             0.24248,            0.034371,            0.010524,            0.011353,            0.006832,            0.006832,            0.006832
                  50,            0.048631,            0.021232,           0.0096541,             0.46363,             0.77083,             0.67038,             0.25566,            0.031073,           0.0098038,            0.011871,            0.006766,            0.006766,            0.006766
                  51,            0.044263,             0.02648,           0.0078307,             0.55264,             0.77083,             0.66151,             0.26808,             0.03298,            0.010458,            0.012299,              0.0067,              0.0067,              0.0067
                  52,            0.045473,            0.026883,           0.0095407,             0.62693,             0.80417,             0.71708,              0.3086,            0.028334,           0.0099784,            0.012137,            0.006634,            0.006634,            0.006634
